DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
200204509,01/11/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1430,Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),60,M,H,,Invest Cont,200 S  UNION                        AV
200204511,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,335,Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),67,F,O,,Invest Cont,1900 W  3RD                          ST
200204512,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1220,Rampart,"THEFT, PERSON",63,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,ALVARADO
200204513,01/11/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2300,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,F,H,,Invest Cont,BEVERLY
200604700,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1,Hollywood,BURGLARY FROM VEHICLE,35,M,O,,Invest Cont,HAWTHORN                     AV
200204517,01/11/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1930,Rampart,BURGLARY FROM VEHICLE,50,M,H,,Invest Cont,3RD                          ST
200204518,01/11/2020 12:00:00 AM,01/10/2020 12:00:00 AM,2245,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,M,H,,Invest Cont,1300    JAMES M WOOD                 BL
201015685,12/02/2020 12:00:00 AM,11/22/2020 12:00:00 AM,1900,West Valley,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),64,M,W,,Invest Cont,ZELZAH                       AV
200204528,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1725,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH                          ST
200204529,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1725,Rampart,BATTERY - SIMPLE ASSAULT,53,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH                          ST
200204533,01/10/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1500,Rampart,BURGLARY FROM VEHICLE,59,F,B,,Invest Cont,200    BELMONT                      AV
200204536,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1905,Rampart,ROBBERY,14,M,H,HAND GUN,Invest Cont,VERMONT
200204540,01/11/2020 12:00:00 AM,01/07/2020 12:00:00 AM,20,Rampart,BURGLARY,34,F,W,,Invest Cont,2100    JAMES M WOOD                 BL
200204541,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1930,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,,Invest Cont,7TH                          ST
200204542,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,145,Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),53,M,H,STICK,Adult Other,500 N  KENMORE                      AV
200204545,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1200,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,1500    WILSHIRE                     BL
200204546,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,300,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,400    GRAND VIEW                   ST
200204547,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2030,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,800    DOUGLAS                      ST
200204548,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1800,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,6TH                          ST
200204550,01/12/2020 12:00:00 AM,01/08/2020 12:00:00 AM,800,Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,,,Invest Cont,3300 W  TEMPLE                       ST
200204553,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1400,Rampart,INTIMATE PARTNER - AGGRAVATED ASSAULT,43,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,700    HARTFORD                     AV
200204557,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1650,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,UNKNOWN WEAPON/OTHER WEAPON,Juv Arrest,300 S  UNION                        AV
200204559,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1700,Rampart,BATTERY - SIMPLE ASSAULT,26,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8TH                          ST
200204560,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,1100,Rampart,INTIMATE PARTNER - AGGRAVATED ASSAULT,30,M,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,1600 W  7TH                          ST
200204561,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2040,Rampart,BATTERY - SIMPLE ASSAULT,27,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600    SAINT PAUL                   AV
200204562,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2040,Rampart,BATTERY - SIMPLE ASSAULT,30,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600    SAINT PAUL                   AV
200204563,01/12/2020 12:00:00 AM,01/10/2020 12:00:00 AM,1530,Rampart,BURGLARY FROM VEHICLE,43,F,B,,Invest Cont,WESTLAKE                     AV
200405556,02/10/2020 12:00:00 AM,02/08/2020 12:00:00 AM,300,Hollenbeck,BURGLARY FROM VEHICLE,27,F,H,,Invest Cont,MAIN
200204564,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1800,Rampart,BURGLARY FROM VEHICLE,43,M,W,,Invest Cont,6TH                          ST
200204565,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2000,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),53,F,B,,Invest Cont,700    WITMER                       ST
200204566,01/11/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1300,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),60,F,H,,Invest Cont,200    UNION                        PL
201419399,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,2225,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),53,M,H,,Invest Cont,ARIZONA CIR
200112369,05/30/2020 12:00:00 AM,05/29/2020 12:00:00 AM,352,Central,BURGLARY,0,M,W,,Adult Other,400 S  BROADWAY
200204569,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,800,Rampart,THEFT OF IDENTITY,45,F,W,,Invest Cont,400 N  VIRGIL                       AV
200204570,01/12/2020 12:00:00 AM,01/12/2020 12:00:00 AM,2000,Rampart,ROBBERY,44,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700    ECHO PARK                    AV
200507729,03/29/2020 12:00:00 AM,03/27/2020 12:00:00 AM,1700,Harbor,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",46,F,H,,Invest Cont,900    FLINT                        AV
200605833,02/07/2020 12:00:00 AM,02/05/2020 12:00:00 AM,1300,Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),34,M,H,,Invest Cont,7200    HILLSIDE                     AV
200908879,04/24/2020 12:00:00 AM,02/05/2020 12:00:00 AM,800,Van Nuys,"BUNCO, GRAND THEFT",34,M,O,,Invest Cont,14400    HAMLIN                       ST
200613265,07/30/2020 12:00:00 AM,07/29/2020 12:00:00 AM,730,Hollywood,VEHICLE - STOLEN,0,,,,Invest Cont,5900    CHULA VISTA                  WY
200204580,01/13/2020 12:00:00 AM,01/12/2020 12:00:00 AM,2100,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,900 S  ALVARADO                     ST
200204581,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2000,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),34,F,B,,Invest Cont,1200 W  8TH                          ST
200204584,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,730,Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",38,M,H,OTHER KNIFE,Invest Cont,1000 N  BONNIE BRAE                  ST
200204588,01/12/2020 12:00:00 AM,01/11/2020 12:00:00 AM,1800,Rampart,BURGLARY FROM VEHICLE,46,F,A,,Invest Cont,700 S  CORONADO                     ST
200204599,01/12/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1610,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),37,M,H,,Invest Cont,W  3RD                          ST
200204602,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,150,Rampart,BATTERY - SIMPLE ASSAULT,39,F,H,UNKNOWN WEAPON/OTHER WEAPON,Juv Arrest,200 S  LA FAYETTE PARK              PL
200204603,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,150,Rampart,BATTERY - SIMPLE ASSAULT,19,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Juv Arrest,200 S  LA FAYETTE PARK              PL
200204609,01/13/2020 12:00:00 AM,01/09/2020 12:00:00 AM,2000,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,100    DOUGLAS                      ST
200204610,01/13/2020 12:00:00 AM,01/13/2020 12:00:00 AM,500,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,800    WATERLOO                     ST
200311984,05/27/2020 12:00:00 AM,05/21/2020 12:00:00 AM,900,Southwest,"BUNCO, PETTY THEFT",68,F,B,,Invest Cont,3700 S  WILTON                       PL
200313632,07/01/2020 12:00:00 AM,06/30/2020 12:00:00 AM,2030,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),38,F,H,,Invest Cont,2500    WELLINGTON                   RD
200204616,01/13/2020 12:00:00 AM,01/12/2020 12:00:00 AM,2310,Rampart,ROBBERY,16,M,H,MACE/PEPPER SPRAY,Adult Other,700 S  ALVARADO                     ST
200204617,01/13/2020 12:00:00 AM,01/11/2020 12:00:00 AM,2200,Rampart,"THEFT, PERSON",17,M,H,,Invest Cont,ALVARADO                     ST
